Genes	KEGG_ID	Metabolism	Pathways	Genes_name	Isoforms
DHODH	hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	dihydroorotate	dihydroorotate dehydrogenase (quinone)
DHRS11	hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	dehydrogenase/reductase	dehydrogenase/reductase 11
DHRS3	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	dehydrogenase/reductase	dehydrogenase/reductase 3
DHRS4	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	dehydrogenase/reductase	dehydrogenase/reductase 4
DHRS4L2	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	dehydrogenase/reductase	dehydrogenase/reductase 4 like 2
DHRS9	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	dehydrogenase/reductase	dehydrogenase/reductase 9
DHTKD1	hsa00310 / hsa00380 / hsa00785	Amino acid metabolism / Metabolism of cofactors and vitamins	Lysine degradation - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human) / Lipoic acid metabolism - Homo sapiens (human)	dehydrogenase	dehydrogenase E1 and transketolase domain containing 1
DLAT	hsa00010 / hsa00020 / hsa00620 / hsa00785	Carbohydrate metabolism / Metabolism of cofactors and vitamins	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Citrate cycle (TCA cycle) - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Lipoic acid metabolism - Homo sapiens (human)	dihydrolipoamide	dihydrolipoamide S-acetyltransferase
DLD	hsa00010 / hsa00020 / hsa00620 / hsa00630 / hsa00640 / hsa00260 / hsa00280 / hsa00310 / hsa00380 / hsa00785 / hsa00670	Carbohydrate metabolism / Amino acid metabolism / Metabolism of cofactors and vitamins	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Citrate cycle (TCA cycle) - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Glyoxylate and dicarboxylate metabolism - Homo sapiens (human) / Propanoate metabolism - Homo sapiens (human) / Glycine, serine and threonine metabolism - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human) / Lysine degradation - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human) / Lipoic acid metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	dihydrolipoamide	dihydrolipoamide dehydrogenase
DLST	hsa00020 / hsa00310 / hsa00380 / hsa00785	Carbohydrate metabolism / Amino acid metabolism / Metabolism of cofactors and vitamins	Citrate cycle (TCA cycle) - Homo sapiens (human) / Lysine degradation - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human) / Lipoic acid metabolism - Homo sapiens (human)	dihydrolipoamide	dihydrolipoamide S-succinyltransferase
DMGDH	hsa00260 / hsa00670	Amino acid metabolism / Metabolism of cofactors and vitamins	Glycine, serine and threonine metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	dimethylglycine	dimethylglycine dehydrogenase
DNMT1	hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	DNA	DNA methyltransferase 1
DNMT3A	hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	DNA	DNA methyltransferase 3 alpha
DNMT3B	hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	DNA	DNA methyltransferase 3 beta
DOT1L	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	DOT1	DOT1 like histone lysine methyltransferase
DPYD	hsa00240 / hsa00410 / hsa00770	Nucleotide metabolism / Metabolism of other amino acids / Metabolism of cofactors and vitamins	Pyrimidine metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human) / Pantothenate and CoA biosynthesis - Homo sapiens (human)	dihydropyrimidine	dihydropyrimidine dehydrogenase
DPYS	hsa00240 / hsa00410 / hsa00770	Nucleotide metabolism / Metabolism of other amino acids / Metabolism of cofactors and vitamins	Pyrimidine metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human) / Pantothenate and CoA biosynthesis - Homo sapiens (human)	dihydropyrimidinase	dihydropyrimidinase
DTYMK	hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	deoxythymidylate	deoxythymidylate kinase
DUT	hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	deoxyuridine	deoxyuridine triphosphatase
EARS2	hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	glutamyl-tRNA	glutamyl-tRNA synthetase 2, mitochondrial
EBP	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	EBP	EBP cholestenol delta-isomerase
ECHDC1	hsa00640	Carbohydrate metabolism	Propanoate metabolism - Homo sapiens (human)	ethylmalonyl-CoA	ethylmalonyl-CoA decarboxylase 1
ECHS1	hsa00640 / hsa00650 / hsa00062 / hsa00071 / hsa00280 / hsa00310 / hsa00380 / hsa00410	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism / Metabolism of other amino acids	Propanoate metabolism - Homo sapiens (human) / Butanoate metabolism - Homo sapiens (human) / Fatty acid elongation - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human) / Lysine degradation - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	enoyl-CoA	enoyl-CoA hydratase, short chain 1
ECI1	hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	enoyl-CoA	enoyl-CoA delta isomerase 1
ECI2	hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	enoyl-CoA	enoyl-CoA delta isomerase 2
EHHADH	hsa00640 / hsa00650 / hsa00071 / hsa00280 / hsa00310 / hsa00380 / hsa00410	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism / Metabolism of other amino acids	Propanoate metabolism - Homo sapiens (human) / Butanoate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human) / Lysine degradation - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	enoyl-CoA	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase
EHMT1	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	euchromatic	euchromatic histone lysine methyltransferase 1
EHMT2	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	euchromatic	euchromatic histone lysine methyltransferase 2
ELOVL1	hsa00062 / hsa01040	Lipid metabolism	Fatty acid elongation - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	ELOVL	ELOVL fatty acid elongase 1
ELOVL2	hsa00062 / hsa01040	Lipid metabolism	Fatty acid elongation - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	ELOVL	ELOVL fatty acid elongase 2
ELOVL3	hsa00062 / hsa01040	Lipid metabolism	Fatty acid elongation - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	ELOVL	ELOVL fatty acid elongase 3
ELOVL4	hsa00062 / hsa01040	Lipid metabolism	Fatty acid elongation - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	ELOVL	ELOVL fatty acid elongase 4
ELOVL5	hsa00062 / hsa01040	Lipid metabolism	Fatty acid elongation - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	ELOVL	ELOVL fatty acid elongase 5
ELOVL6	hsa00062 / hsa01040	Lipid metabolism	Fatty acid elongation - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	ELOVL	ELOVL fatty acid elongase 6
ELOVL7	hsa00062 / hsa01040	Lipid metabolism	Fatty acid elongation - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	ELOVL	ELOVL fatty acid elongase 7
ENO1	hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	enolase	enolase 1
ENO2	hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	enolase	enolase 2
ENO3	hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	enolase	enolase 3
ENO4	hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	enolase	enolase 4
ENOPH1	hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	enolase-phosphatase	enolase-phosphatase 1
ENOSF1	hsa00051	Carbohydrate metabolism	Fructose and mannose metabolism - Homo sapiens (human)	enolase	enolase superfamily member 1
ENPP1	hsa00500 / hsa00230 / hsa00240 / hsa00740 / hsa00760 / hsa00770	Carbohydrate metabolism / Nucleotide metabolism / Metabolism of cofactors and vitamins	Starch and sucrose metabolism - Homo sapiens (human) / Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human) / Riboflavin metabolism - Homo sapiens (human) / Nicotinate and nicotinamide metabolism - Homo sapiens (human) / Pantothenate and CoA biosynthesis - Homo sapiens (human)	ectonucleotide	ectonucleotide pyrophosphatase/phosphodiesterase 1
ENPP2	hsa00565	Lipid metabolism	Ether lipid metabolism - Homo sapiens (human)	ectonucleotide	ectonucleotide pyrophosphatase/phosphodiesterase 2
ENPP3	hsa00500 / hsa00230 / hsa00240 / hsa00740 / hsa00760 / hsa00770	Carbohydrate metabolism / Nucleotide metabolism / Metabolism of cofactors and vitamins	Starch and sucrose metabolism - Homo sapiens (human) / Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human) / Riboflavin metabolism - Homo sapiens (human) / Nicotinate and nicotinamide metabolism - Homo sapiens (human) / Pantothenate and CoA biosynthesis - Homo sapiens (human)	ectonucleotide	ectonucleotide pyrophosphatase/phosphodiesterase 3
ENPP4	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ectonucleotide	ectonucleotide pyrophosphatase/phosphodiesterase 4
ENPP6	hsa00565	Lipid metabolism	Ether lipid metabolism - Homo sapiens (human)	ectonucleotide	ectonucleotide pyrophosphatase/phosphodiesterase 6
ENPP7	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	ectonucleotide	ectonucleotide pyrophosphatase/phosphodiesterase 7
ENTPD1	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	ectonucleoside	ectonucleoside triphosphate diphosphohydrolase 1
ENTPD2	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ectonucleoside	ectonucleoside triphosphate diphosphohydrolase 2
ENTPD3	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	ectonucleoside	ectonucleoside triphosphate diphosphohydrolase 3
ENTPD4	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	ectonucleoside	ectonucleoside triphosphate diphosphohydrolase 4
ENTPD5	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	ectonucleoside	ectonucleoside triphosphate diphosphohydrolase 5 (inactive)
ENTPD6	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	ectonucleoside	ectonucleoside triphosphate diphosphohydrolase 6
ENTPD8	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	ectonucleoside	ectonucleoside triphosphate diphosphohydrolase 8
EPHX2	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	epoxide	epoxide hydrolase 2
EPRS	hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	glutamyl-prolyl-tRNA	glutamyl-prolyl-tRNA synthetase 1
ETHE1	hsa00920	Energy metabolism	Sulfur metabolism - Homo sapiens (human)	ETHE1	ETHE1 persulfide dioxygenase
ETNK1	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	ethanolamine	ethanolamine kinase 1
ETNK2	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	ethanolamine	ethanolamine kinase 2
ETNPPL	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	ethanolamine-phosphate	ethanolamine-phosphate phospho-lyase
EZH1	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	enhancer	enhancer of zeste 1 polycomb repressive complex 2 subunit
EZH2	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	enhancer	enhancer of zeste 2 polycomb repressive complex 2 subunit
FADS1	hsa01040	Lipid metabolism	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	fatty	fatty acid desaturase 1
FADS2	hsa00592 / hsa01040	Lipid metabolism	alpha-Linolenic acid metabolism - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	fatty	fatty acid desaturase 2
FAH	hsa00350	Amino acid metabolism	Tyrosine metabolism - Homo sapiens (human)	fumarylacetoacetate	fumarylacetoacetate hydrolase
FAHD1	hsa00350	Amino acid metabolism	Tyrosine metabolism - Homo sapiens (human)	fumarylacetoacetate	fumarylacetoacetate hydrolase domain containing 1
FASN	hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	fatty	fatty acid synthase
FBP1	hsa00010 / hsa00030 / hsa00051	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pentose phosphate pathway - Homo sapiens (human) / Fructose and mannose metabolism - Homo sapiens (human)	fructose-bisphosphatase	fructose-bisphosphatase 1
FBP2	hsa00010 / hsa00030 / hsa00051	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pentose phosphate pathway - Homo sapiens (human) / Fructose and mannose metabolism - Homo sapiens (human)	fructose-bisphosphatase	fructose-bisphosphatase 2
FUK	hsa00051 / hsa00520	Carbohydrate metabolism	Fructose and mannose metabolism - Homo sapiens (human) / Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	fucose	fucose kinase
FDFT1	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	farnesyl-diphosphate	farnesyl-diphosphate farnesyltransferase 1
FECH	hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	ferrochelatase	ferrochelatase
FGGY	hsa00040	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human)	FGGY	FGGY carbohydrate kinase domain containing
FH	hsa00020 / hsa00620	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human)	fumarate	fumarate hydratase
FHIT	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	fragile	fragile histidine triad diadenosine triphosphatase
FIG4	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	FIG4	FIG4 phosphoinositide 5-phosphatase
FLAD1	hsa00740	Metabolism of cofactors and vitamins	Riboflavin metabolism - Homo sapiens (human)	flavin	flavin adenine dinucleotide synthetase 1
FMO1	hsa00430	Metabolism of other amino acids	Taurine and hypotaurine metabolism - Homo sapiens (human)	flavin	flavin containing dimethylaniline monoxygenase 1
FMO2	hsa00430	Metabolism of other amino acids	Taurine and hypotaurine metabolism - Homo sapiens (human)	flavin	flavin containing dimethylaniline monoxygenase 2
FMO3	hsa00430	Metabolism of other amino acids	Taurine and hypotaurine metabolism - Homo sapiens (human)	flavin	flavin containing dimethylaniline monoxygenase 3
FMO4	hsa00430	Metabolism of other amino acids	Taurine and hypotaurine metabolism - Homo sapiens (human)	flavin	flavin containing dimethylaniline monoxygenase 4
FMO5	hsa00430	Metabolism of other amino acids	Taurine and hypotaurine metabolism - Homo sapiens (human)	flavin	flavin containing dimethylaniline monoxygenase 5
FOLH1	hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	folate	folate hydrolase 1
FPGS	hsa00790	Metabolism of cofactors and vitamins	Folate biosynthesis - Homo sapiens (human)	folylpolyglutamate	folylpolyglutamate synthase
FPGT	hsa00051 / hsa00520	Carbohydrate metabolism	Fructose and mannose metabolism - Homo sapiens (human) / Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	fucose-1-phosphate	fucose-1-phosphate guanylyltransferase
FTCD	hsa00340 / hsa00670	Amino acid metabolism / Metabolism of cofactors and vitamins	Histidine metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	formimidoyltransferase	formimidoyltransferase cyclodeaminase
FTH1	hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	ferritin	ferritin heavy chain 1
FTL	hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	ferritin	ferritin light chain
FTMT	hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	ferritin	ferritin mitochondrial
FXN	hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	frataxin	frataxin
G6PC	hsa00010 / hsa00052 / hsa00500	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Galactose metabolism - Homo sapiens (human) / Starch and sucrose metabolism - Homo sapiens (human)	glucose-6-phosphatase	glucose-6-phosphatase catalytic subunit 1
G6PC2	hsa00010 / hsa00052 / hsa00500	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Galactose metabolism - Homo sapiens (human) / Starch and sucrose metabolism - Homo sapiens (human)	glucose-6-phosphatase	glucose-6-phosphatase catalytic subunit 2
